particle,,dframe,dx,dy,step_len
174,14,1,-0.25914764,0.46629333,0.53346694
174,15,1,0.11083603,-0.116874695,0.1610724
174,16,1,-0.57590103,0.022621155,0.57634515
174,17,1,0.3315277,0.23538208,0.4065899
174,18,1,0.19532967,-0.07539749,0.20937636
174,19,1,-0.24063683,-0.18429947,0.30310458
174,20,1,0.1978283,-0.021465302,0.19898942
174,21,1,-0.115377426,0.007209778,0.11560247
174,22,1,0.19294739,-0.40472794,0.44836748
174,23,1,-0.31717682,0.33528137,0.4615352
174,24,1,0.30674934,-0.44192505,0.53795254
174,25,1,-0.37009048,0.014461517,0.37037292
174,26,1,0.16727829,0.3371849,0.3763983
174,27,1,0.23693848,0.06896973,0.2467725
174,28,1,0.10948181,-0.15174866,0.18712008
174,29,1,0.15961266,-0.21459961,0.26744944
174,30,1,-0.2500229,0.27139664,0.36900893
174,31,1,-0.094026566,-0.12860489,0.15931168
174,32,1,0.068237305,-0.85490036,0.85761935
174,33,1,0.03400421,0.19665146,0.19956973
174,34,1,-0.43084908,-0.007507324,0.4309145
174,35,1,0.38837814,-0.008892059,0.38847992
174,36,1,-0.14292908,-0.18347931,0.23257983
174,37,1,0.3403244,0.5984726,0.6884694
174,38,1,0.101903915,-0.3370552,0.35212302
174,39,1,-0.45858002,0.46769714,0.6550086
174,40,1,-0.11832619,-0.92622375,0.9337513
174,41,1,0.05205536,-0.08683777,0.10124504
174,42,1,0.074754715,0.6888313,0.6928758
174,43,1,0.10129166,0.7811203,0.7876604
174,44,1,0.18855095,-0.24403,0.3083863
174,45,1,0.084630966,-0.40241623,0.41121918
174,46,1,0.047683716,-0.16781235,0.1744555
174,47,1,0.07561493,-0.116062164,0.13852091
174,48,1,-0.2978649,0.14492798,0.33125162
174,49,1,0.08091354,-0.09992981,0.12858059
174,50,1,0.21153831,0.023368835,0.2128252
174,51,1,-0.24775696,-0.3241272,0.40797296
174,52,1,-0.08842468,0.008232117,0.08880705
174,53,1,0.5609226,0.5869217,0.8118567
174,54,1,-0.14036942,-0.029640198,0.14346467
174,55,1,-0.34232712,-0.71421814,0.79201984
174,56,1,-0.4356861,0.60074615,0.742104
174,57,1,0.50914574,-0.17019653,0.5368391
174,58,1,-0.00021362305,0.07841492,0.07841521
174,59,1,-0.08271408,0.06667328,0.106240034
174,60,1,-0.034360886,-0.08421707,0.09095705
174,61,1,0.03466797,-0.08650589,0.09319408
174,62,1,0.07674599,-0.18932724,0.20429084
174,63,1,0.15882683,0.519619,0.5433506
174,64,1,-0.11865997,0.5465927,0.55932444
174,65,1,-0.2130146,-0.5298195,0.5710376
174,66,1,0.07059097,-0.33316422,0.34056053
174,67,1,0.018981934,-0.07034683,0.07286282
174,68,1,0.0401268,0.49832535,0.4999383
174,69,1,0.144001,-0.3593521,0.38713077
174,70,1,-0.27596474,-0.21279907,0.3484824
174,71,1,0.11759186,-0.28504562,0.3083486
174,72,1,0.08205986,0.38750076,0.39609426
174,73,1,-0.3349495,-0.21954346,0.4004878
174,74,1,0.13264275,0.07439041,0.15207903
175,0,1,-0.09942818,-0.017627716,0.1009787
175,1,1,0.19283485,-0.4676304,0.50582945
175,2,1,-0.23357582,0.3001194,0.38030162
176,0,1,0.41695023,0.84500885,0.9422778
176,1,1,-0.21295166,-0.28806305,0.35823
176,2,1,-0.063489914,-0.40561676,0.41055563
177,0,1,-0.07619858,0.36799812,0.37580425
177,1,1,0.27804375,-0.28247643,0.39636
177,2,1,-0.17621994,0.7261276,0.74720466
187,0,1,-0.016407013,0.47797203,0.47825354
187,1,1,-0.11969757,-0.009391785,0.12006546
192,0,1,0.2554264,-0.6320858,0.68174416
192,1,1,0.4025154,0.18397903,0.44256857
201,0,1,0.5286846,-0.020633698,0.5290871
201,1,1,-0.30051422,0.1772461,0.34889108
201,2,1,-0.0023269653,-0.14577484,0.14579341
201,3,1,0.28323936,-0.20388794,0.34899116
201,4,1,-0.008436203,0.43073654,0.43081915
201,5,1,-0.115766525,-0.10574722,0.15679401
201,6,1,0.07026672,-0.1663971,0.18062505
201,7,1,-0.40719795,-0.2518692,0.47879878
201,8,1,0.19275284,-0.22573471,0.29683298
201,9,1,0.011077881,0.15005875,0.1504671
201,10,1,-0.15241241,-0.08864975,0.17631881
201,11,1,-0.095184326,0.19535828,0.21731293
201,12,1,0.77957535,0.39551544,0.8741683
201,13,1,-0.53673744,-0.102249146,0.54638994
201,14,1,0.03429413,-0.22861862,0.23117647
201,15,1,0.03896141,-0.1628685,0.16746384
201,16,1,-0.27084923,-0.23326874,0.35745436
201,17,1,-0.15080452,-0.12702942,0.19717626
201,18,1,-0.79325867,-1.1150551,1.3684324
201,19,1,0.26647758,0.16370392,0.31274474
201,20,1,0.55483246,-0.27724075,0.6202431
201,21,1,-0.6498642,0.23893738,0.69239765
201,22,1,0.019853592,0.44688797,0.44732878
203,0,1,-0.04405403,0.76039886,0.7616739
203,1,1,0.21139717,-0.6144695,0.6498166
205,0,1,0.16305351,0.19738197,0.2560197
205,1,1,-0.014705658,0.062397003,0.064106494
205,2,1,-0.17883873,-0.34090424,0.38496622
211,0,1,0.019439697,-0.5122032,0.512572
211,1,1,0.54709053,0.8233566,0.9885465
218,0,1,-0.33711052,-1.6454811,1.6796582
218,1,1,-0.019693375,-0.18422127,0.18527089
218,2,1,0.13403511,-0.14576912,0.19802538
218,3,1,-0.4680786,-0.41976547,0.6287294
218,4,1,0.7826805,1.5290127,1.7176929
227,0,1,0.59197235,0.4195404,0.72556555
227,1,1,-0.41451073,-0.61102486,0.7383566
227,2,1,0.017002106,-0.13436127,0.13543272
227,3,1,0.2386837,0.36836243,0.43893144
227,4,1,-0.112478256,-0.26719856,0.2899076
227,5,1,0.08703804,0.7332821,0.7384296
227,6,1,0.42494965,0.5963707,0.73228425
227,7,1,-0.43299294,-0.3318119,0.54551077
228,0,1,0.639513,-0.5534706,0.845758
228,1,1,-0.4213333,-0.26720238,0.4989177
234,0,1,-0.15574837,-1.4637165,1.4719795
234,1,1,0.11162567,0.06703949,0.13020977
236,0,1,-0.22443008,0.21617699,0.3116109
236,1,1,0.03860283,-0.02253151,0.044697285
236,2,1,-0.042705536,-0.1833458,0.18825367
236,3,1,0.690855,-0.006061554,0.6908816
236,4,1,-0.605402,-0.71172714,0.9343806
236,5,1,-0.21567535,0.7772865,0.80665374
236,6,1,0.25214195,-0.36745644,0.44564536
236,7,1,-0.1763401,0.09958458,0.20251647
236,8,1,0.35872078,0.6109524,0.70847964
236,9,1,-0.71318054,-0.92079735,1.1646863
236,10,1,0.3897915,-0.14103317,0.41452113
236,11,1,-0.077819824,0.62892723,0.63372344
236,12,1,0.3946228,-0.0043582916,0.39464688
236,13,1,-0.12188721,-0.11794472,0.1696097
236,14,1,0.033655167,-0.06896782,0.07674132
244,0,1,-0.028381348,-0.29472542,0.29608878
244,1,1,-0.3435192,0.16373062,0.38054326
244,2,1,0.08047676,-0.16331863,0.18207
249,0,1,-0.2734909,-0.4623375,0.53717154
249,1,1,0.23113823,0.73485565,0.7703491
